pic_name,bool_value,bool_gme,bool_gamestop,bool_investing,value_screenshot
27bldyahnxe61,False,True,True,False,232.0
0t5ltr34l3e61,False,True,False,False,197.0
tkickgvdjwd61,True,True,False,False,353.0
q31d9p9t4xe61,True,False,False,False,1458.0
v44vo2go83e61,False,False,True,False,5000.0
gho13vxzeid61,False,True,False,False,1301675.0
q45k87j4occ61,True,False,False,False,6615.0
t2k0l9uo52161,False,False,False,True,11722.0
ld3xpty3nxd61,True,False,True,False,11318.0
wqz25ou463e61,False,True,True,False,380.0
umqye4unpwc61,False,True,True,False,7184.0
ia39rf5vw9f61,True,True,True,False,200.0
6bmtiv52e2f61,False,True,False,True,2367.0
mevvly7kaqc61,True,True,False,False,1847.0
dhqpfz5wgf361,False,False,False,True,4772.0
noahorvx0ke61,True,False,False,False,64097.0
6frcwpqf34b61,False,False,False,True,24164.0
bbao0oqo3id61,False,True,False,False,5025.0
20cybhfiupe61,True,True,True,False,20475.0
gec9ak2ao2e61,False,True,True,False,468.0
65xd8jdos3f61,False,True,True,False,1300.0
m6nbmpj1hwc61,True,True,False,False,134.0
pq1ymb5e57e61,False,True,True,False,347.0
dh4lnxntqaf61,False,True,True,False,1047.0
JDJU2R1,False,False,False,True,15445.0
sz2mptd702e61,False,True,True,False,420.0
snawbidj9xd61,True,True,False,False,26293.0
q01uewjkxr661,True,False,False,False,370.0
qb3totmw5ke61,False,True,False,False,312.0
m533jf2r1me61,False,False,True,False,325.0
womindve9ie61,True,False,False,False,3698.0
fx288dguvmz51,True,False,False,False,22713.0
o6i9p7mr0pd61,True,False,False,False,445.0
rj4ff4lv17f61,True,False,False,False,3086.0
4fakat1fu3f61,True,True,True,False,672.0
jzpon58zfze61,False,False,False,True,1841.0
j9g437lanaf61,True,True,True,False,2970.0
l60g4qfvh3f61,False,True,True,False,571.0
qkgdqpovhkb61,True,False,False,False,10081.0
71oy8pt4j5f61,False,True,True,False,104.0
b8snm6qlise61,False,False,False,True,98909.0
u318tv7bcaf61,False,True,False,False,101.0
gntjtdgc7e261,False,True,False,True,14721.0
9n0o372464f61,True,False,True,False,715.0
lym9xjxpqif61,False,False,False,True,25712.0
X6y9qcq,False,True,True,False,450.0
v24yuy3rcyd61,True,False,False,False,6260.0
o20pv8f944f61,True,False,False,False,3331.0
6vojslih7l961,False,False,False,True,76616.0
8wbray9dwaf61,True,False,False,False,658.0
DLAusNl,False,False,False,True,2866.0
j0lf444u5xe61,True,True,False,False,1727.0
b0hucj6zv5e61,False,False,False,True,537.0
ukrj530jp3e61,False,False,True,False,193.0
b382k5bos1f61,False,True,True,False,225.0
az850ri8bhf61,False,True,False,True,3773.0
qqzwyrlbb5e61,False,True,False,False,1001.0
n8fzy2vm02e61,False,False,True,False,431.0
g7bxb2y9s2e61,False,True,True,False,446.0
web2zpzo8f761,False,False,False,True,6286.0
9ane31c102e61,True,True,False,False,2361.0
g08esgt00xe61,True,False,False,False,3913.0
wowzxltta9161,False,False,False,True,420.0
zq7d39ngi0f61,True,False,False,False,167.0
lthkjjzt64f61,True,False,False,False,1324.0
4XsMASw,True,True,False,False,335.0
c2ujcmhn16761,True,True,False,False,9185.0
EKOgcfv,False,True,True,False,317.0
0ao8gsgh6oe61,True,False,False,False,11158.0
714regia23e61,True,False,False,False,518.0
i3s6tif81id61,True,False,False,False,5030.0
ls8383276cc61,False,False,False,True,2008.0
s86b31uqo2e61,False,True,True,False,465.0
hi0qqrwgzid61,True,False,False,False,1047.0
bc22yanc6wd61,False,True,True,False,3991.0
96ihwd6ru0d61,False,False,False,True,208678.0
pztwcrmfh0f61,True,False,False,False,571.0
yxantzbcfbe61,False,False,False,True,20374.0
11awfn3krs361,False,False,False,True,2815.0
o2tjihhiove61,False,False,True,False,1001.0
mktrxlhzt3f61,False,True,False,False,115.0
69wgp7d0gre61,False,True,False,False,312.0
3i440ciyfga61,False,False,False,True,3362.0
z1h3mz6oq4e61,True,False,False,False,126.0
p26msql063f61,False,True,False,False,4413.0
91aslr98hbe61,True,True,True,False,1803.0
nzs3dy5uoid61,True,True,True,False,73364.0
0xlikp1ffhf61,True,True,True,False,75750.0
0d1h64uoo4f61,True,True,True,False,5560.0
ipht5wf3ux661,True,False,False,False,41092.0
zjvybufq6h261,False,False,False,True,16107.0
fswv8k357kb61,True,True,False,False,71669.0
ewivyefr73e61,False,True,True,False,420.0
a0rqccaqkif61,True,False,False,False,500.0
achrnnpqraf61,True,False,False,False,365.0
UHQ2zIw,False,True,False,False,621.0
oidy1r6zrdb61,True,True,True,False,5848.0
d0kiuolbzic61,True,False,False,False,4896.0
