occurrences,volume,close,tweets,date,hour
592,11227960.0,8.9918,263,2021-01-15,14
947,27272468.0,9.4725,362,2021-01-15,15
710,22412088.0,8.8725,465,2021-01-15,16
510,76196724.0,10.1845,84,2021-01-19,9
797,85952648.0,9.44,112,2021-01-19,10
642,29973720.0,9.905,86,2021-01-19,11
645,42692984.0,10.53,126,2021-01-19,12
557,21167184.0,10.235,203,2021-01-19,14
481,13926968.0,10.069,608,2021-01-19,15
508,21767620.0,9.8775,749,2021-01-19,16
350,19958780.0,9.4794,60,2021-01-20,9
420,22647248.0,9.215,74,2021-01-20,10
583,44436920.0,9.8375,115,2021-01-20,11
405,12313152.0,9.6675,140,2021-01-20,12
375,11726496.0,9.8186,189,2021-01-20,14
416,9109276.0,9.8975,408,2021-01-20,15
439,11098040.0,9.78,428,2021-01-20,16
354,11011948.0,9.625,183,2021-01-21,9
441,21337108.0,9.9669,160,2021-01-21,10
742,50868896.0,10.5625,200,2021-01-21,11
629,52800700.0,9.925,284,2021-01-21,12
548,28007456.0,10.5545,423,2021-01-21,14
597,21563940.0,10.14,526,2021-01-21,15
618,36314916.0,10.755,867,2021-01-21,16
519,32699076.0,11.495,106,2021-01-22,9
743,47604440.0,11.9199,99,2021-01-22,10
1280,95314884.0,13.05,95,2021-01-22,11
2123,231410912.0,17.575,187,2021-01-22,12
1970,168680964.0,13.7774,247,2021-01-22,14
1230,75743136.0,14.795,475,2021-01-22,15
1163,120177732.0,16.2125,679,2021-01-22,16
1793,76649288.0,22.44,1459,2021-01-25,9
2743,206880948.0,29.2675,1284,2021-01-25,10
2943,83035688.0,24.89,1378,2021-01-25,11
3168,100532760.0,17.355,1799,2021-01-25,12
2062,71124184.0,19.1875,2881,2021-01-25,14
1567,69191476.0,19.25,3868,2021-01-25,15
1625,60724664.0,19.1913,9178,2021-01-25,16
1718,65416872.0,21.8925,904,2021-01-26,9
2216,65867076.0,21.9025,1020,2021-01-26,10
1866,29266132.0,21.95,1624,2021-01-26,11
2073,82589852.0,26.3889,1776,2021-01-26,12
2503,127352572.0,28.6375,2328,2021-01-26,14
2762,129793692.0,32.9613,3327,2021-01-26,15
3441,134446480.0,36.4913,5268,2021-01-26,16
3874,59475948.0,77.6725,8999,2021-01-27,9
5777,69520020.0,92.955,11173,2021-01-27,10
7680,58570732.0,78.1525,14336,2021-01-27,11
10640,40115388.0,85.543,15652,2021-01-27,12
8026,27134392.0,81.6475,18765,2021-01-27,14
6996,28529528.0,79.9002,33730,2021-01-27,15
5606,37556400.0,86.25,45348,2021-01-27,16
9929,36226276.0,117.1225,24076,2021-01-28,9
9959,29980584.0,66.0025,25936,2021-01-28,10
10320,43258572.0,63.9404,33940,2021-01-28,11
7770,25231760.0,59.9164,45573,2021-01-28,12
5542,20523564.0,60.3825,97988,2021-01-28,14
6257,18974028.0,61.7925,154469,2021-01-28,15
6157,22750856.0,49.36,159861,2021-01-28,16
4869,34327204.0,79.3425,24269,2021-01-29,9
5572,29996312.0,83.655,23892,2021-01-29,10
4261,15903052.0,85.0414,25367,2021-01-29,11
4348,21766328.0,82.3316,32664,2021-01-29,12
4425,19125152.0,69.0275,40855,2021-01-29,14
5165,26635104.0,70.8902,54856,2021-01-29,15
4614,34200288.0,82.06,55189,2021-01-29,16
5258,25091016.0,67.5,5035,2021-02-01,9
8743,36699036.0,59.3475,5320,2021-02-01,10
5412,19242488.0,64.8,5986,2021-02-01,11
4080,10010604.0,62.0,7734,2021-02-01,12
4372,11989584.0,62.5,10727,2021-02-01,14
3791,8262552.0,60.0457,13791,2021-02-01,15
3854,18397880.0,56.75,17619,2021-02-01,16
6909,52335812.0,28.75,4014,2021-02-02,9
7955,79952896.0,22.875,3969,2021-02-02,10
8062,63027984.0,28.7125,4855,2021-02-02,11
4610,30953924.0,29.4875,6370,2021-02-02,12
2683,17944432.0,26.0931,9551,2021-02-02,14
2779,24170144.0,24.975,13455,2021-02-02,15
2931,22329516.0,22.6175,18205,2021-02-02,16
2401,40130388.0,23.2225,2507,2021-02-03,9
2458,34568088.0,24.8575,2708,2021-02-03,10
1851,15398624.0,23.3875,3278,2021-02-03,11
1644,15987128.0,24.9925,3729,2021-02-03,12
1770,23184756.0,26.875,5070,2021-02-03,14
1338,15509548.0,24.485,7100,2021-02-03,15
1266,15162364.0,23.0108,6540,2021-02-03,16
1589,21780560.0,20.8475,2103,2021-02-04,9
2252,40932940.0,17.85,2266,2021-02-04,10
3042,60435616.0,17.145,2344,2021-02-04,11
2314,24749640.0,16.0775,3066,2021-02-04,12
2387,39362456.0,15.0,3914,2021-02-04,14
2145,18981492.0,14.5575,5138,2021-02-04,15
1931,30863536.0,13.3445,5123,2021-02-04,16
